Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
,Avatar,2009,,✓,,✓,✓,,20th Century Fox,James Cameron,
,Spider-Man 2,2004,,✓,,✓,,,Sony Pictures,Sam Raimi,
Jaws Sequels Triple,Jaws 2,1978,,✓,,,,✓,Universal,Jeannot Szwarc,
Jaws Sequels Triple,Jaws 3-D,1983,,✓,,,,✓,Universal,Joe Alves,
Jaws Sequels Triple,Jaws: The Revenge,1987,,✓,,,,✓,Universal,Joseph Sargent,
,Doctor Zhivago,1965,,✓,,,,✓,Warner Bros.,David Lean,
,Battlefield Earth,2000,,✓,,,,✓,Entertainment In Video,Roger Christian,
,E.T. the Extra-Terrestrial,1982,,✓,,,,✓,Universal,Steven Spielberg,
,Transformers,2007,,✓,,,,✓,Paramount,Michael Bay,
,Cloverfield,2008,,✓,,,,✓,Paramount,Matt Reeves,
,Gone Girl,2014,,✓,,,,✓,20th Century Fox,David Fincher,
"Marx Brothers Collection, The",Animal Crackers,1930,,✓,,,,✓,Universal,Victor Heerman,
"Marx Brothers Collection, The",Monkey Business,1931,,✓,,,,✓,Universal,Norman Z. McLeod,
"Marx Brothers Collection, The",Horse Feathers,1932,,✓,,,,✓,Universal,Norman Z. McLeod,
"Marx Brothers Collection, The",Duck Soup,1933,,✓,,,,✓,Universal,Leo McCarey,
,"Phantom of the Opera at the Royal Albert Hall, The",2011,,✓,,,,✓,Universal,Nick Morris; Laurence Connor,Filmed 25th-anniversary stage production
,28 Weeks Later,2007,,✓,,,,✓,20th Century Fox,Juan Carlos Fresnadillo,
,Being John Malkovich,1999,,✓,,,,✓,Universal,Spike Jonze,
,Howards End,1992,,✓,,,,✓,Columbia TriStar,James Ivory,Standard UK DVD; publisher not verified
,"Game, The",1997,,✓,,✓,,,Arrow Video,David Fincher,
Game of Thrones: The Complete Collection,Game of Thrones: Season 1,2011,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 2,2012,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 3,2013,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 4,2014,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 5,2015,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 6,2016,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 7,2017,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
Game of Thrones: The Complete Collection,Game of Thrones: Season 8,2019,✓,,✓,,,,HBO,David Benioff; D. B. Weiss,
,Heat,1995,,✓,✓,✓,,,20th Century Fox,Michael Mann,
,Barry Lyndon,1975,,✓,,✓,,,Warner Bros.,Stanley Kubrick,WB Premium Collection no. 90
,Faust,1926,,✓,,✓,,,Eureka,F. W. Murnau,
,Nosferatu,1922,,✓,,✓,,,Eureka,F. W. Murnau,
,"Iron Giant, The (Signature Edition)",1999 / 2015,,✓,,✓,,,Warner Bros.,Brad Bird,
,Fear and Loathing in Las Vegas,1998,,✓,,✓,,,Arrow Video,Terry Gilliam,
"Lord of the Rings, The: The Motion Picture Trilogy","Lord of the Rings, The: The Two Towers (Extended Edition)",2002 / 2003,,✓,,✓,,,Entertainment In Video,Peter Jackson,Early-2010s Extended Edition Blu-ray boxset; outer box no longer held
,Midsommar,2019,,✓,✓,✓,,,Weltkino,Ari Aster,German release; theatrical cut
,Midsommar (Director's Cut),2019,,✓,,✓,,,Weltkino,Ari Aster,"Director's Cut, on the Blu-ray in the same package"
,Who Framed Roger Rabbit,1988,,✓,,✓,,,Touchstone Pictures,Robert Zemeckis,
,Scott Pilgrim vs. the World,2010,,✓,✓,✓,,,Universal,Edgar Wright,
,Pacific Rim,2013,,✓,✓,✓,,,Warner Bros.,Guillermo del Toro,
,Sleepers,1996,,✓,,,,✓,Universal,Barry Levinson,
The Terminal / Catch Me If You Can / Cast Away,"Terminal, The",2004,,✓,,,,✓,DreamWorks,Steven Spielberg,Box carries no name beyond the three titles
The Terminal / Catch Me If You Can / Cast Away,Catch Me If You Can,2002,,✓,,,,✓,DreamWorks,Steven Spielberg,Box carries no name beyond the three titles
The Terminal / Catch Me If You Can / Cast Away,Cast Away,2000,,✓,,,,✓,DreamWorks,Robert Zemeckis,Box carries no name beyond the three titles
,3000 Miles to Graceland,2001,,✓,,,,✓,Warner Bros.,Demian Lichtenstein,
"Coen Brothers Collection, The (Fox)",Raising Arizona,1987,,✓,,,,✓,20th Century Fox,Joel Coen; Ethan Coen,
"Coen Brothers Collection, The (Fox)",Miller's Crossing,1990,,✓,,,,✓,20th Century Fox,Joel Coen; Ethan Coen,
"Coen Brothers Collection, The (Fox)",Fargo,1996,,✓,,,,✓,20th Century Fox,Joel Coen; Ethan Coen,
"Wire, The: The Complete Series","Wire, The: Season 1",2002,✓,,,,,✓,HBO,David Simon,
"Wire, The: The Complete Series","Wire, The: Season 2",2003,✓,,,,,✓,HBO,David Simon,
"Wire, The: The Complete Series","Wire, The: Season 3",2004,✓,,,,,✓,HBO,David Simon,
"Wire, The: The Complete Series","Wire, The: Season 4",2006,✓,,,,,✓,HBO,David Simon,
"Wire, The: The Complete Series","Wire, The: Season 5",2008,✓,,,,,✓,HBO,David Simon,
"Tim Burton Collection, The",Pee-wee's Big Adventure,1985,,✓,,,,✓,Warner Bros.,Tim Burton,
"Tim Burton Collection, The",Beetlejuice,1988,,✓,,,,✓,Warner Bros.,Tim Burton,
"Tim Burton Collection, The",Batman,1989,,✓,,,,✓,Warner Bros.,Tim Burton,Second copy; 4K also held
"Tim Burton Collection, The",Batman Returns,1992,,✓,,,,✓,Warner Bros.,Tim Burton,Second copy; 4K also held
"Tim Burton Collection, The",Mars Attacks!,1996,,✓,,,,✓,Warner Bros.,Tim Burton,
"Tim Burton Collection, The",Corpse Bride,2005,,✓,,,,✓,Warner Bros.,Tim Burton; Mike Johnson,
"Tim Burton Collection, The",Charlie and the Chocolate Factory,2005,,✓,,,,✓,Warner Bros.,Tim Burton,
"Tim Burton Collection, The",Sweeney Todd: The Demon Barber of Fleet Street,2007,,✓,,,,✓,Warner Bros.,Tim Burton,
,This Is England,2006,,✓,,,,✓,Optimum Home Entertainment,Shane Meadows,
"Jane Austen Collection, The (ITV)",Mansfield Park,2007,✓,,,,,✓,ITV Studios,Iain B. MacDonald,TV film
"Jane Austen Collection, The (ITV)",Northanger Abbey,2007,✓,,,,,✓,ITV Studios,Jon Jones,TV film
"Jane Austen Collection, The (ITV)",Emma,1996,✓,,,,,✓,ITV Studios,Diarmuid Lawrence,TV film
"Spy Kids Trilogy, The",Spy Kids,2001,,✓,,,,✓,Buena Vista,Robert Rodriguez,
"Spy Kids Trilogy, The",Spy Kids 2: The Island of Lost Dreams,2002,,✓,,,,✓,Buena Vista,Robert Rodriguez,
"Spy Kids Trilogy, The",Spy Kids 3-D: Game Over,2003,,✓,,,,✓,Buena Vista,Robert Rodriguez,
Collected Works of Hayao Miyazaki,"Castle of Cagliostro, The",1979,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Nausicaä of the Valley of the Wind,1984,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Castle in the Sky,1986,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,My Neighbor Totoro,1988,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Kiki's Delivery Service,1989,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Porco Rosso,1992,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Princess Mononoke,1997,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Spirited Away,2001,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Howl's Moving Castle,2004,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,Ponyo,2008,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
Collected Works of Hayao Miyazaki,"Wind Rises, The",2013,,✓,,✓,,,Unofficial,Hayao Miyazaki,Bootleg set; packaging mimics a Disney release
,North by Northwest,1959,,✓,,✓,,,Warner Bros.,Alfred Hitchcock,
,"'71",2014,,✓,,✓,,,StudioCanal,Yann Demange,
"Vengeance Trilogy, The",Sympathy for Mr. Vengeance,2002,,✓,,✓,,,Arrow Video,Park Chan-wook,
"Vengeance Trilogy, The",Oldboy,2003,,✓,,✓,,,Arrow Video,Park Chan-wook,
"Vengeance Trilogy, The",Lady Vengeance,2005,,✓,,✓,,,Arrow Video,Park Chan-wook,
,Beetlejuice,1988,,✓,✓,✓,,,Warner Bros.,Tim Burton,Second copy; DVD also held in the Tim Burton box
,Excalibur,1981,,✓,,✓,,,Warner Bros.,John Boorman,WB Premium Collection no. 13
,Napoléon,1927,,✓,,✓,,,BFI,Abel Gance,
Rocky: Ultimate Knockout Collection,Rocky,1976,,✓,✓,,,,Warner Bros.,John G. Avildsen,
Rocky: Ultimate Knockout Collection,Rocky II,1979,,✓,✓,,,,Warner Bros.,Sylvester Stallone,
Rocky: Ultimate Knockout Collection,Rocky III,1982,,✓,✓,,,,Warner Bros.,Sylvester Stallone,
Rocky: Ultimate Knockout Collection,Rocky IV,1985,,✓,✓,,,,Warner Bros.,Sylvester Stallone,
Rocky: Ultimate Knockout Collection,Rocky V,1990,,✓,✓,,,,Warner Bros.,John G. Avildsen,
Rocky: Ultimate Knockout Collection,Rocky Balboa,2006,,✓,✓,,,,Warner Bros.,Sylvester Stallone,
Rocky: Ultimate Knockout Collection,Rocky IV (Rocky vs. Drago - The Ultimate Director's Cut),1985 / 2021,,✓,✓,,,,Warner Bros.,Sylvester Stallone,Re-cut of Rocky IV
,Drive,2011,,✓,✓,✓,,,Second Sight,Nicolas Winding Refn,
,"Lobster, The",2015,,✓,,✓,,,Lionsgate,Yorgos Lanthimos,
,Casino,1995,,✓,✓,✓,,,Universal,Martin Scorsese,
,"Godfather Coda, The: The Death of Michael Corleone",1990 / 2020,,✓,✓,✓,,,Paramount,Francis Ford Coppola,Recut of The Godfather Part III
,Dr. Strangelove,1964,,✓,,✓,,,Criterion,Stanley Kubrick,
,True Detective: Season 1,2014,✓,,,✓,,,HBO,Nic Pizzolatto,
Akira Kurosawa Samurai Collection,Seven Samurai,1954,,✓,,✓,,,BFI,Akira Kurosawa,
Akira Kurosawa Samurai Collection,Throne of Blood,1957,,✓,,✓,,,BFI,Akira Kurosawa,
Akira Kurosawa Samurai Collection,"Hidden Fortress, The",1958,,✓,,✓,,,BFI,Akira Kurosawa,
Akira Kurosawa Samurai Collection,Yojimbo,1961,,✓,,✓,,,BFI,Akira Kurosawa,
Akira Kurosawa Samurai Collection,Sanjuro,1962,,✓,,✓,,,BFI,Akira Kurosawa,
,Training Day,2001,,✓,✓,✓,,,Warner Bros.,Antoine Fuqua,
,True Stories,1986,,✓,,✓,,,Criterion,David Byrne,
,Harakiri,1962,,✓,,✓,,,Eureka,Masaki Kobayashi,
,Edge of Tomorrow,2014,,✓,✓,✓,,,Warner Bros.,Doug Liman,
,Dune,2021,,✓,✓,✓,,,Warner Bros.,Denis Villeneuve,
,Good Time,2017,,✓,,✓,,,Curzon Artificial Eye,Benny Safdie; Josh Safdie,
,Westworld: Season 1,2016,✓,,✓,✓,,,HBO,Jonathan Nolan; Lisa Joy,
,Bram Stoker's Dracula,1992,,✓,✓,✓,,,Sony Pictures,Francis Ford Coppola,
,Blade Runner 2049,2017,,✓,✓,✓,,,Sony Pictures,Denis Villeneuve,
,Star Trek Into Darkness,2013,,✓,✓,✓,,,Paramount,J. J. Abrams,
,"Elephant Man, The",1980,,✓,,✓,,,StudioCanal,David Lynch,
,Stagecoach,1939,,✓,,✓,,,Criterion,John Ford,
,"Dark Knight, The",2008,,✓,✓,✓,,,Warner Bros.,Christopher Nolan,
,Phantom of the Paradise,1974,,✓,,✓,,,Scream Factory,Brian De Palma,
Die Nibelungen,Die Nibelungen: Siegfried,1924,,✓,,✓,,,Eureka,Fritz Lang,
Die Nibelungen,Die Nibelungen: Kriemhild's Revenge,1924,,✓,,✓,,,Eureka,Fritz Lang,
,Raging Bull,1980,,✓,✓,✓,,,Criterion,Martin Scorsese,
,Network,1976,,✓,,✓,,,Arrow Academy,Sidney Lumet,
,War for the Planet of the Apes,2017,,✓,✓,✓,,,20th Century Fox,Matt Reeves,
,Ghost in the Shell,1995,,✓,✓,✓,,,Manga Entertainment,Mamoru Oshii,Second copy; Manga Blu-ray also held
,Alien,1979,,✓,✓,✓,,,20th Century Fox,Ridley Scott,
,Saving Private Ryan,1998,,✓,✓,✓,,,Paramount,Steven Spielberg,
,Gladiator,2000,,✓,✓,✓,,,Universal,Ridley Scott,
,Chinatown,1974,,✓,✓,✓,,,Paramount,Roman Polanski,
,1917,2019,,✓,✓,✓,,,Entertainment One,Sam Mendes,
,"Holy Mountain, The",1973,,✓,,✓,,,Arrow Video,Alejandro Jodorowsky,
,Inglourious Basterds,2009,,✓,✓,✓,,,Universal,Quentin Tarantino,
,Evangelion: 2.22 You Can (Not) Advance,2009,,✓,,✓,,,Manga Entertainment,Hideaki Anno; Masayuki,
,Birdman,2014,,✓,,✓,,,20th Century Fox,Alejandro G. Iñárritu,Rental copy
,"Shining, The",1980,,✓,✓,✓,,,Warner Bros.,Stanley Kubrick,
,Highlander,1986,,✓,✓,✓,,,StudioCanal,Russell Mulcahy,
,Videodrome,1983,,✓,✓,,,,Arrow Video,David Cronenberg,
,Evangelion: 3.0+1.11 Thrice Upon a Time,2021,,✓,,✓,,,Anime Limited,Hideaki Anno,
,"Matrix, The",1999,,✓,✓,✓,,,Warner Bros.,Lana Wachowski; Lilly Wachowski,
,Cinema Paradiso,1988,,✓,✓,,,,Arrow Academy,Giuseppe Tornatore,"Theatrical cut, on the 4K disc"
,Cinema Paradiso (Director's Cut),1988 / 2002,,✓,,✓,,,Arrow Academy,Giuseppe Tornatore,On the Blu-ray disc in the same package
"Lord of the Rings, The: The Motion Picture Trilogy","Lord of the Rings, The: The Fellowship of the Ring (Extended Edition)",2001 / 2002,,✓,,✓,,,Entertainment In Video,Peter Jackson,Early-2010s Extended Edition Blu-ray boxset; outer box no longer held
,"Last Temptation of Christ, The",1988,,✓,,✓,,,Criterion,Martin Scorsese,
,"Last of Us, The: Season 1",2023,✓,,✓,✓,,,HBO,Craig Mazin; Neil Druckmann,
Yojimbo / Sanjuro,Yojimbo,1961,,✓,✓,✓,,,BFI,Akira Kurosawa,Second copy; also in the BFI Samurai Collection
Yojimbo / Sanjuro,Sanjuro,1962,,✓,✓,✓,,,BFI,Akira Kurosawa,Second copy; also in the BFI Samurai Collection
,Exorcist III,1990,,✓,,✓,,,Arrow Video,William Peter Blatty,
,Guillermo del Toro's Pinocchio,2022,,✓,✓,✓,,,Criterion,Guillermo del Toro; Mark Gustafson,
,BlacKkKlansman,2018,,✓,,✓,,,Universal,Spike Lee,
,Dune,1984,,✓,✓,✓,,,Arrow Video,David Lynch,"Limited Edition, 4K + Blu-ray"
Twin Peaks: The Entire Mystery,Twin Peaks: Season 1,1990,✓,,,✓,,,Paramount,David Lynch; Mark Frost,
Twin Peaks: The Entire Mystery,Twin Peaks: Season 2,1990,✓,,,✓,,,Paramount,David Lynch; Mark Frost,
Twin Peaks: The Entire Mystery,Twin Peaks: Fire Walk with Me,1992,,✓,,✓,,,Paramount,David Lynch,
,"It's a Mad, Mad, Mad, Mad World",1963,,✓,,✓,,,Criterion,Stanley Kramer,
,Heathers,1988,,✓,,✓,,,Arrow Video,Michael Lehmann,
Avatar: The Legend of Aang - The Complete Series,Avatar: The Legend of Aang - Book 1: Water,2005,✓,,,✓,,,Paramount,Michael Dante DiMartino; Bryan Konietzko,
Avatar: The Legend of Aang - The Complete Series,Avatar: The Legend of Aang - Book 2: Earth,2006,✓,,,✓,,,Paramount,Michael Dante DiMartino; Bryan Konietzko,
Avatar: The Legend of Aang - The Complete Series,Avatar: The Legend of Aang - Book 3: Fire,2007,✓,,,✓,,,Paramount,Michael Dante DiMartino; Bryan Konietzko,
,Evil Dead II,1987,,✓,✓,✓,,,StudioCanal,Sam Raimi,
,Battle Royale,2000,,✓,✓,✓,,,Arrow Video,Kinji Fukasaku,
,Logan,2017,,✓,✓,✓,,,20th Century Fox,James Mangold,
,Logan (Noir),2017,,✓,,✓,,,20th Century Fox,James Mangold,"Black-and-white version, on the Blu-ray in the same package"
,"Dark Knight Rises, The",2012,,✓,✓,✓,,,Warner Bros.,Christopher Nolan,
,Team America: World Police,2004,,✓,✓,✓,,,Paramount,Trey Parker,
,Van Helsing,2004,,✓,,,,✓,Universal,Stephen Sommers,
Icons: Orson Welles,Citizen Kane,1941,,✓,,,,✓,Universal,Orson Welles,Second copy; 4K also held
Icons: Orson Welles,Waterloo,1970,,✓,,,,✓,Universal,Sergei Bondarchuk,
Icons: Orson Welles,"Lady from Shanghai, The",1947,,✓,,,,✓,Universal,Orson Welles,
Icons: Orson Welles,A Man for All Seasons,1966,,✓,,,,✓,Universal,Fred Zinnemann,
,Battleship Potemkin,1925,,✓,,✓,,,BFI,Sergei Eisenstein,Pet Shop Boys score
Fast & Furious 7-Movie Collection,"Fast and the Furious, The",2001,,✓,,✓,,,Universal,Rob Cohen,
Fast & Furious 7-Movie Collection,2 Fast 2 Furious,2003,,✓,,✓,,,Universal,John Singleton,
Fast & Furious 7-Movie Collection,"Fast and the Furious, The: Tokyo Drift",2006,,✓,,✓,,,Universal,Justin Lin,
Fast & Furious 7-Movie Collection,Fast & Furious,2009,,✓,,✓,,,Universal,Justin Lin,
Fast & Furious 7-Movie Collection,Fast Five,2011,,✓,,✓,,,Universal,Justin Lin,
Fast & Furious 7-Movie Collection,Fast & Furious 6,2013,,✓,,✓,,,Universal,Justin Lin,
Fast & Furious 7-Movie Collection,Furious 7,2015,,✓,,✓,,,Universal,James Wan,
,"Killing of a Sacred Deer, The",2017,,✓,,✓,,,Curzon Artificial Eye,Yorgos Lanthimos,
,Total Recall,1990,,✓,,✓,,,StudioCanal,Paul Verhoeven,
,"ga, ga: Glory to the Heroes",1985,,✓,,✓,,,Radiance Films,Piotr Szulkin,
,"Three Billboards Outside Ebbing, Missouri",2017,,✓,,✓,,,20th Century Fox,Martin McDonagh,
,Dredd,2012,,✓,,✓,,,Entertainment One,Pete Travis,
,Pride and Prejudice,1995,✓,,,✓,,,BBC,Simon Langton,
,Schindler's List,1993,,✓,✓,✓,,,Universal,Steven Spielberg,25th Anniversary Edition
,Dune: Part Two,2024,,✓,✓,,,,Warner Bros.,Denis Villeneuve,
RoboCop Trilogy,RoboCop,1987,,✓,,✓,,,MGM,Paul Verhoeven,
RoboCop Trilogy,RoboCop 2,1990,,✓,,✓,,,MGM,Irvin Kershner,
RoboCop Trilogy,RoboCop 3,1993,,✓,,✓,,,MGM,Fred Dekker,
"Lord of the Rings, The: The Motion Picture Trilogy","Lord of the Rings, The: The Return of the King (Extended Edition)",2003 / 2004,,✓,,✓,,,Entertainment In Video,Peter Jackson,Early-2010s Extended Edition Blu-ray boxset; outer box no longer held
,"Red Shoes, The",1948,,✓,,✓,,,ITV Studios,Michael Powell; Emeric Pressburger,
,"Fabelmans, The",2022,,✓,✓,✓,,,Entertainment One,Steven Spielberg,
,Sátántangó,1994,,✓,,✓,,,Curzon,Béla Tarr,
,Interstellar,2014,,✓,✓,✓,,,Warner Bros.,Christopher Nolan,
,Doctor Sleep,2019,,✓,✓,✓,,,Warner Bros.,Mike Flanagan,
Straight Shooting & Hell Bent,Straight Shooting,1917,,✓,,✓,,,Eureka,John Ford,
Straight Shooting & Hell Bent,Hell Bent,1918,,✓,,✓,,,Eureka,John Ford,
,M,1931,,✓,,✓,,✓,Eureka,Fritz Lang,Dual format (Blu-ray + DVD)
,Cowboy Bebop,1998,✓,,,✓,,,Anime Limited,Shinichirō Watanabe,Complete series
,Batman,1989,,✓,✓,✓,,,Warner Bros.,Tim Burton,Second copy; DVD also held in the Tim Burton box
,Cowboy Bebop: The Movie,2001,,✓,,✓,,,Manga Entertainment,Shinichirō Watanabe,
,"Act of Killing, The",2012,,✓,,✓,,,Dogwoof,Joshua Oppenheimer,Documentary
,Inside Llewyn Davis,2013,,✓,,✓,,,StudioCanal,Joel Coen; Ethan Coen,
,"Deer Hunter, The",1978,,✓,✓,✓,,,StudioCanal,Michael Cimino,
,"Return of the Living Dead, The",1985,,✓,✓,,,,Arrow Video,Dan O'Bannon,"Two discs, but the Blu-ray carries bonus features only"
,"Wizard of Oz, The",1939,,✓,✓,✓,,,Warner Bros.,Victor Fleming,
,Häxan,1922,,✓,,✓,,,Radiance Films,Benjamin Christensen,
,Carlito's Way,1993,,✓,✓,✓,,,Universal,Brian De Palma,
,Akira Kurosawa's Dreams,1990,,✓,✓,✓,,,Criterion,Akira Kurosawa,
,A Clockwork Orange,1971,,✓,✓,✓,,,Warner Bros.,Stanley Kubrick,
,Spider-Man 3,2007,,✓,,✓,,,Sony Pictures,Sam Raimi,
,Chernobyl,2019,✓,,✓,✓,,,HBO,Craig Mazin,5-part miniseries
,Perfect Blue,1997,,✓,,✓,,,Anime Limited,Satoshi Kon,
,Delicatessen,1991,,✓,✓,✓,,,StudioCanal,Marc Caro; Jean-Pierre Jeunet,
,Zack Snyder's Justice League,2021,,✓,✓,✓,,,Warner Bros.,Zack Snyder,"Recut of Justice League (2017), treated as its own title"
,Tokyo Godfathers,2003,,✓,,✓,,,Manga Entertainment,Satoshi Kon,
Primer / Upstream Color,Primer,2004,,✓,,✓,,,Arrow Films,Shane Carruth,
Primer / Upstream Color,Upstream Color,2013,,✓,,✓,,,Arrow Films,Shane Carruth,
,Scarface,1983,,✓,✓,✓,,,Universal,Brian De Palma,Gold Edition
,Requiem for a Dream,2000,,✓,,✓,,,Momentum Pictures,Darren Aronofsky,UK disc carries the Director's Cut
,"O-bi, o-ba: The End of Civilization",1985,,✓,,✓,,,Radiance Films,Piotr Szulkin,
,Last Night in Soho,2021,,✓,✓,✓,,,Universal,Edgar Wright,
,Spider-Man: Across the Spider-Verse,2023,,✓,✓,✓,,,Sony Pictures,Joaquim Dos Santos; Kemp Powers; Justin K. Thompson,
,Final Fantasy VII: Advent Children (Complete),2005 / 2009,,✓,,✓,,,Sony Pictures,Tetsuya Nomura; Takeshi Nozue,
,Twilight,2008,,✓,,✓,,,E1 Entertainment,Catherine Hardwicke,
,"Twilight Saga, The: New Moon",2009,,✓,,✓,,,E1 Entertainment,Chris Weitz,
,Citizen Kane,1941,,✓,✓,✓,,,Warner Bros.,Orson Welles,
Riddick Collection,Pitch Black,2000,,✓,,✓,,,Universal,David Twohy,
Riddick Collection,"Chronicles of Riddick, The",2004,,✓,,✓,,,Universal,David Twohy,
Riddick Collection,"Chronicles of Riddick, The: Dark Fury",2004,,✓,,,,✓,Universal,Peter Chung,Animated; DVD only
,Emma,1996,,✓,,✓,,,StudioCanal,Douglas McGrath,Miramax title; distinct from the ITV Emma
Enter the Video Store: Empire of Screams,"Dungeonmaster, The",1984,,✓,,✓,,,Arrow Video,Charles Band; John Carl Buechler; David Allen; Steven Ford; Peter Manoogian; Ted Nicolaou; Rosemarie Turko,
Enter the Video Store: Empire of Screams,Dolls,1987,,✓,,✓,,,Arrow Video,Stuart Gordon,
Enter the Video Store: Empire of Screams,Cellar Dweller,1988,,✓,,✓,,,Arrow Video,John Carl Buechler,
Enter the Video Store: Empire of Screams,Arena,1989,,✓,,✓,,,Arrow Video,Peter Manoogian,
Enter the Video Store: Empire of Screams,Robot Jox,1989,,✓,,✓,,,Arrow Video,Stuart Gordon,
,"Seventh Seal, The",1957,,✓,✓,✓,,,BFI,Ingmar Bergman,
,Kong: Skull Island,2017,,✓,✓,✓,,,Warner Bros.,Jordan Vogt-Roberts,
